STT,SẢN PHẨM,NHU CẦU,TỈNH THÀNH,QUẬN HUYỆN,PHƯỜNG/ XÃ,"ĐƯỜNG, KHU VỰC",GIÁ,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,XUẤT XỨ,NĂM SẢN XUẤT,DUNG TÍCH,SỐ CHỖ NGỒI,KIỂU XE,MÀU XE,NHIÊN LIỆU,HỘP SỐ,TRỌNG TẢI,SỐ KM ĐÃ ĐI
35,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,,,95000000,12/9/2021,Hyundai,Grand i10,Việt Nam,2021,,,Hatchback,,Xăng,Bán tự động,,
36,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,1499000000,12/9/2021,Mercedes Benz,C Class,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
37,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,,1969000000,12/9/2021,Mercedes Benz,C Class,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
38,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Phước Vĩnh An,,150000000,12/9/2021,Ford,Laser,Mỹ,2002,,5,Sedan,,Xăng,Số sàn,,123.456
39,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 16,,2950000000,12/9/2021,Mercedes Benz,E Class,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
40,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Thảo Điền,,842000000,12/9/2021,Hyundai,Tucson,Việt Nam,2020,,5,SUV / Cross over,,Xăng,Tự động,,15
41,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,,470000000,12/9/2021,Mazda,3,Nhật Bản,2016,,5,Sedan,,Xăng,Tự động,,74
42,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 13,,790000000,12/9/2021,Chevrolet,Colorado,Thái Lan,2020,,5,Pick-up (bán tải),,Dầu,Tự động,,4.289
43,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,450000000,12/9/2021,Hyundai,Accent,Việt Nam,2021,,5,Sedan,,Xăng,Số sàn,,
44,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,,190000000,12/9/2021,Hyundai,Getz,Hàn Quốc,2010,,5,Hatchback,,Xăng,Số sàn,,98
45,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,739000000,12/9/2021,Hyundai,Tucson,Việt Nam,2021,,5,SUV / Cross over,,Dầu,Tự động,,
46,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,,305000000,12/9/2021,Mitsubishi,Attrage,Việt Nam,2019,,5,Sedan,,Xăng,Số sàn,,50
47,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phú,,1750000000,12/9/2021,Mercedes Benz,C Class,Việt Nam,2019,,5,Sedan,,Xăng,Tự động,,1.58
48,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 15,,254300000,12/9/2021,Suzuki,Dòng khác,,2021,,,,,,Số sàn,,
49,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,739000000,12/9/2021,Hyundai,Tucson,,2021,,,,,,Tự động,,
50,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,,205000000,12/9/2021,Kia,Morning,Hàn Quốc,2009,,5,Hatchback,,Xăng,Tự động,,80
51,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Đông,,333333000,12/9/2021,Toyota,Wigo,Thái Lan,2019,,5,Hatchback,,Xăng,Tự động,,100
52,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Tân Thới Hiệp,,137000000,12/9/2021,Mitsubishi,Jolie,Việt Nam,2005,,7,,,Xăng,Số sàn,,20
53,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,,,518000000,12/9/2021,Toyota,Vios,Việt Nam,2020,,5,Sedan,,Xăng,Tự động,,1.618
54,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,,1030000000,12/9/2021,Hyundai,Santa Fe,Việt Nam,2019,,7,SUV / Cross over,,Xăng,Tự động,,30
55,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,,739000000,12/9/2021,Mitsubishi,Outlander,Việt Nam,2020,,5,SUV / Cross over,,Xăng,Tự động,,4
56,Ô tô,Cần bán,Hồ Chí Minh,Quận 11,Phường 2,,595000000,12/9/2021,Honda,City,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,11
57,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Phước,,970000000,12/9/2021,Mazda,6,Việt Nam,2020,,5,Sedan,,Xăng,Tự động,,17
58,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,,135000000,12/9/2021,Ford,Escape,Việt Nam,2001,,5,SUV / Cross over,,Xăng,Tự động,,100
59,Ô tô,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,,1399000000,12/9/2021,BMW,4 Series,Đức,2013,,4,Coupe (2 cửa),,Xăng,Tự động,,80
60,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,630000000,11/9/2021,Mitsubishi,Triton,,2021,,,,,,Tự động,,
61,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,,690000000,11/9/2021,Ford,Ranger,Thái Lan,2021,,5,Pick-up (bán tải),,Dầu,Bán tự động,,1
62,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Thị trấn Củ Chi,,200000000,11/9/2021,Toyota,Yaris,Thái Lan,2010,,5,Hatchback,,Xăng,Số sàn,,5.887
63,Ô tô,Cần bán,Hồ Chí Minh,Quận 3,Phường 10,,465000000,11/9/2021,Kia,Rondo,Việt Nam,2016,,7,Minivan (MPV),,Xăng,Tự động,,52
64,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,,600000000,11/9/2021,Mitsubishi,Pajero,Thái Lan,2021,,7,Hatchback,,Xăng,Tự động,,10
65,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,999000000,11/9/2021,Kia,Sorento,Việt Nam,2021,,7,SUV / Cross over,,Dầu,Tự động,,
66,Ô tô,Cần bán,Hồ Chí Minh,Quận 11,Phường 3,,480000000,11/9/2021,Toyota,Innova,Việt Nam,2017,,8,Minivan (MPV),,Xăng,Số sàn,,100
67,Ô tô,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,,285000000,11/9/2021,Hyundai,Gold,Hàn Quốc,2011,,2,Kiểu dáng khác,,Dầu,Số sàn,,45
68,Ô tô,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Long A,,490000000,11/9/2021,Toyota,Vios,Nhật Bản,2020,,5,Sedan,,Xăng,Số sàn,,40
69,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Bình Thuận,,299000000,11/9/2021,Suzuki,Ertiga,Ấn Độ,2015,,7,SUV / Cross over,,Xăng,Tự động,,42
70,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,,850000000,11/9/2021,Toyota,Fortuner,Việt Nam,2019,,7,SUV / Cross over,,Dầu,Số sàn,,3.9
71,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,,2489000000,11/9/2021,Mercedes Benz,S Class,Đức,2015,,5,Sedan,,Xăng,Tự động,,58
72,Ô tô,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Nhơn Đức,,998000000,11/9/2021,Honda,CR V,Việt Nam,2021,,7,SUV / Cross over,,Xăng,Tự động,,
73,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,,510000000,11/9/2021,Toyota,Vios,Việt Nam,2020,,5,Sedan,,Xăng,Tự động,,15
74,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,,1170000000,11/9/2021,Toyota,Camry,Thái Lan,2019,,5,Sedan,,Xăng,Tự động,,14
75,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,,,382500000,11/9/2021,Vinfast,Fadil,Việt Nam,2021,,5,Hatchback,,,Tự động,,
76,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,,980000000,11/9/2021,Ford,Everest,Thái Lan,2018,,7,SUV / Cross over,,Dầu,Tự động,,35
77,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Thạnh Mỹ Lợi,,920000000,11/9/2021,Ford,Transit,Việt Nam,2021,,9,Minivan (MPV),,Dầu,Số sàn,,
78,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,,,559000000,11/9/2021,Ford,EcoSport,Việt Nam,2021,,5,SUV / Cross over,,Xăng,Tự động,,
79,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Trường Thọ,,208000000,11/9/2021,Hyundai,Tucson,Việt Nam,2021,,5,SUV / Cross over,,Xăng,Tự động,,
80,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,,,2479000000,11/9/2021,Mercedes Benz,GLC,Việt Nam,2020,,5,SUV / Cross over,,Xăng,Tự động,,20
81,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,,950000000,11/9/2021,Toyota,Fortuner,Nhật Bản,2019,,7,SUV / Cross over,,Dầu,Tự động,,50
82,Ô tô,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 11,,699000000,11/9/2021,BMW,3 Series,Nước khác,2014,,4,Sedan,,Xăng,Tự động,,39
83,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 8,,579000000,11/9/2021,Toyota,Hiace,Nhật Bản,2017,,16,Van,,Xăng,Số sàn,,50
84,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,,1118000000,11/9/2021,Honda,CR V,Việt Nam,2021,,7,SUV / Cross over,,Xăng,Tự động,,
85,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 2,,465000000,11/9/2021,Honda,City,Việt Nam,2017,,5,Sedan,,Xăng,Tự động,,45
86,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,,525000000,11/9/2021,Nissan,Qashqai,Nước khác,2012,,5,SUV / Cross over,,Xăng,Tự động,,16
87,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,,235000000,10/9/2021,Suzuki,Dòng khác,,2020,,,,,Xăng,Số sàn,,3.506
88,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,,370000000,10/9/2021,Toyota,Innova,Việt Nam,2013,,8,Minivan (MPV),,Xăng,Tự động,,105
89,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,,,345000000,10/9/2021,Hyundai,Grand i10,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
90,Ô tô,Cần bán,Hồ Chí Minh,Quận 1,Phường Bến Nghé,,1799000000,10/9/2021,Mercedes Benz,E Class,Việt Nam,2019,,5,Sedan,,Xăng,Tự động,,31
91,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường An Phú,,2500000000,10/9/2021,Porsche,Macan,Đức,2016,,5,SUV / Cross over,,Xăng,Tự động,,34
92,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Kiểng,,2600000000,10/9/2021,Mercedes Benz,S Class,,2017,,5,Sedan,,Xăng,Tự động,,54
93,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,,799000000,10/9/2021,Toyota,Camry,Việt Nam,2017,,5,Sedan,,Xăng,Tự động,,45
94,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Trung,,550000000,10/9/2021,Hyundai,Kona,,2018,,5,SUV / Cross over,,Xăng,Tự động,,50
95,Ô tô,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Thị trấn Nhà Bè,,495000000,10/9/2021,Honda,City,Việt Nam,2018,,5,Sedan,,Xăng,Tự động,,85
96,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,,744000000,10/9/2021,Hyundai,Tucson,Việt Nam,2021,,5,SUV / Cross over,,Xăng,Tự động,,
97,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Trung,,505000000,10/9/2021,Nissan,Navara,Thái Lan,2017,,5,Pick-up (bán tải),,Dầu,Tự động,,95
98,Ô tô,Cần bán,Hồ Chí Minh,Quận 9,Phường Long Bình,,725000000,10/9/2021,Mazda,3,Việt Nam,2020,,5,Hatchback,,Xăng,Tự động,,1.7
99,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,1110000000,10/9/2021,Mitsubishi,Pajero Sport,,2021,,,,,,Tự động,,
100,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,68000000,10/9/2021,Hyundai,Grand i10,Hàn Quốc,2021,,5,Hatchback,,Xăng,Số sàn,,
101,Ô tô,Cần bán,Hồ Chí Minh,Quận 11,Phường 4,,880000000,10/9/2021,Mazda,CX 5,Việt Nam,2020,,5,SUV / Cross over,,Xăng,Tự động,,12
102,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,520000000,10/9/2021,Hyundai,Accent,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
103,Ô tô,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,,695000000,10/9/2021,Toyota,Innova,,2019,,7,Minivan (MPV),,Xăng,Tự động,,50
104,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc A,,881695000,10/9/2021,Vinfast,Lux,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
105,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,630000000,10/9/2021,Mitsubishi,Xpander,,2021,,,,,,Tự động,,
106,Ô tô,Cần bán,Hồ Chí Minh,Quận 1,,,860000000,10/9/2021,Ford,Ranger,Việt Nam,2019,,5,Pick-up (bán tải),,Dầu,Tự động,,14.99
107,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Thuận Tây,,499000000,10/9/2021,Toyota,Vios,Việt Nam,2020,,5,Sedan,,Xăng,Tự động,,1.618
108,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,,75000000,10/9/2021,SYM,V5,Đài Loan,2011,,5,Pick-up (bán tải),,Xăng,Số sàn,,5.8
109,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Phú Trung,,165000000,10/9/2021,Ford,Transit,Việt Nam,2007,,7,Van,,Dầu,Số sàn,,250
110,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,,2950000000,10/9/2021,Mercedes Benz,E Class,Đức,2021,,5,Sedan,,Xăng,Tự động,,
111,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Phú Trung,,100000000,10/9/2021,Toyota,Corolla,Việt Nam,2001,,5,Sedan,,Xăng,Số sàn,,200
112,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,,360000000,10/9/2021,Hyundai,Grand i10,Việt Nam,2021,,5,Hatchback,,Xăng,Tự động,,
113,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 15,,1450000000,10/9/2021,Mercedes Benz,C Class,,2021,,,,,,Tự động,,50
114,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,,,599000000,10/9/2021,Mitsubishi,Xpander,,2021,,7,Minivan (MPV),,Xăng,Tự động,,2
115,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,,969000000,10/9/2021,Toyota,Camry,Việt Nam,2018,,5,Sedan,,Xăng,Tự động,,50
116,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,,,881695000,10/9/2021,Vinfast,Lux,Việt Nam,2021,,5,Sedan,,Xăng,Tự động,,
117,Ô tô,Cần bán,Hồ Chí Minh,Quận 10,Phường 12,,520000000,10/9/2021,Honda,City,Thái Lan,2020,,5,Sedan,,Xăng,Tự động,,16
118,Ô tô,Cần bán,Hồ Chí Minh,Quận 12,,,345000000,10/9/2021,Ford,Escape,Việt Nam,2010,,5,SUV / Cross over,,Xăng,Tự động,,
119,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Mỹ,,75000000,10/9/2021,Chery,Dòng khác,Việt Nam,2010,,5,SUV / Cross over,,Xăng,Số sàn,,100
120,Ô tô,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 12,,556000000,10/9/2021,Ford,Transit,Việt Nam,2019,,7,Van,,Dầu,Số sàn,,15
121,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình Trưng Đông,,435000000,9/9/2021,Toyota,Vios,Việt Nam,2017,,5,Sedan,,Xăng,Tự động,,53
122,Ô tô,Cần bán,Hồ Chí Minh,Quận 2,Phường Bình Trưng Đông,,330000000,9/9/2021,Toyota,Vios,Việt Nam,2015,,5,Sedan,,Xăng,Số sàn,,110
123,Ô tô,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Kiên,,399000000,9/9/2021,Toyota,Vios,Nhật Bản,2019,,5,Sedan,,Xăng,Số sàn,,135
124,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,,880000000,9/9/2021,Ford,Ranger,Thái Lan,2020,,5,Pick-up (bán tải),,Dầu,Tự động,,13
125,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,,630000000,9/9/2021,Mitsubishi,Xpander,Việt Nam,2021,,7,SUV / Cross over,,Xăng,Tự động,,
126,Ô tô,Cần bán,Hồ Chí Minh,Quận 1,Phường Tân Định,,475000000,9/9/2021,Hyundai,Sonata,Hàn Quốc,2012,,5,Sedan,,Xăng,Tự động,,80
127,Ô tô,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,,1089000000,9/9/2021,Ford,Dòng khác,Nước khác,2018,,5,Pick-up (bán tải),,Dầu,Tự động,,10
128,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,,86000000,9/9/2021,Toyota,Fortuner,Nước khác,2017,,7,SUV / Cross over,,Dầu,Số sàn,,26
129,Ô tô,Cần bán,Hồ Chí Minh,Quận 5,,,999000000,9/9/2021,Kia,Sorento,Việt Nam,2021,,7,SUV / Cross over,,Dầu,Tự động,,
130,Ô tô,Cần bán,Hồ Chí Minh,Quận 3,,,456000000,9/9/2021,Mitsubishi,Grandis,Việt Nam,2011,,7,Minivan (MPV),,Xăng,Tự động,,32
131,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,,1999000000,9/9/2021,Porsche,Cayenne,,2012,,,,,Xăng,Số sàn,,60
132,Ô tô,Cần bán,Hồ Chí Minh,Quận 4,Phường 1,,285000000,9/9/2021,Hyundai,Grand i10,Ấn Độ,2014,,5,Hatchback,,Xăng,Tự động,,41
133,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,,698000000,9/9/2021,BMW,5 Series,Đức,2011,,5,Sedan,,Xăng,Tự động,,85
134,Ô tô,Cần bán,Hồ Chí Minh,Huyện Củ Chi,,,175000000,9/9/2021,Kia,Morning,Hàn Quốc,2007,,5,Hatchback,,Xăng,Tự động,,75
135,Ô tô,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,,615000000,9/9/2021,Kia,Seltos,,2021,,,,,,Tự động,,
136,Ô tô,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,,340000000,9/9/2021,Toyota,Hiace,Việt Nam,2010,,16,Van,,Dầu,Số sàn,,225
137,Ô tô,Cần bán,Hồ Chí Minh,Quận 8,Phường 1,,260000000,9/9/2021,Hyundai,Grand i10,Ấn Độ,2016,,5,Hatchback,,Xăng,Số sàn,,140
138,Ô tô,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,,285000000,9/9/2021,Chevrolet,Cruze,Việt Nam,2010,,5,Sedan,,Xăng,Tự động,,65
